# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 VerifyPubKeyp88 1312 1 0.0100 p88 p55 299 N p88->p55
0.0200 VerifyPubKeyp36 1312 1 0.0100 p36 p28 299 N p36->p28
0.0200 KemPubKeyp33 2090 1 0.0100 p33 p94 299 N p33->p94
0.0200 VerifyPubKeyp40 1312 1 0.0100 p40 p122 299 N p40->p122
0.0200 VerifyPubKeyp93 1312 1 0.0100 p93 p115 299 N p93->p115
0.0200 VerifyPubKeyp2 1312 1 0.0100 p2 p119 299 N p2->p119
0.0200 VerifyPubKeyp7 1312 1 0.0100 p7 p39 299 N p7->p39
0.0200 KemPubKeyp114 2105 1 0.0100 p114 p83 299 N p114->p83
0.0200 KemPubKeyp66 2083 1 0.0100 p66 p72 299 N p66->p72
0.0200 KemPubKeyp76 2102 1 0.0100 p76 p79 299 N p76->p79
0.0200 VerifyPubKeyp38 1312 1 0.0100 p38 p128 299 N p38->p128
0.0200 VerifyPubKeyp12 1312 1 0.0100 p12 p111 299 N p12->p111
0.0200 KemPubKeyp100 2091 1 0.0100 p100 p110 299 N p100->p110
0.0200 KemPubKeyp24 2104 1 0.0100 p24 p35 299 N p24->p35
0.0200 KemPubKeyp121 2096 1 0.0100 p121 p60 299 N p121->p60
0.0200 KemPubKeyp91 2106 1 0.0100 p91 p99 299 N p91->p99
0.0200 KemPubKeyp125 2091 1 0.0100 p125 p71 299 N p125->p71
0.0200 VerifyPubKeyp43 1312 1 0.0100 p43 p41 299 N p43->p41
0.0200 VerifyPubKeyp45 1312 1 0.0100 p45 p4 299 N p45->p4
0.0200 KemPubKeyp129 2092 1 0.0100 p129 p3 299 N p129->p3
0.0200 VerifyPubKeyp61 1312 1 0.0100 p61 p127 299 N p61->p127
0.0200 VerifyPubKeyp92 1312 1 0.0100 p92 p90 299 N p92->p90
0.0200 VerifyPubKeyp81 1312 1 0.0100 p81 p62 299 N p81->p62
0.0200 VerifyPubKeyp8 1312 1 0.0100 p8 p123 299 N p8->p123
0.0200 KemPubKeyp22 2099 1 0.0100 p22 p75 299 N p22->p75
0.0200 VerifyPubKeyp54 1312 1 0.0100 p54 p16 299 N p54->p16
0.0200 KemPubKeyp5 2103 1 0.0100 p5 p57 299 N p5->p57
0.0200 KemPubKeyp14 2087 1 0.0100 p14 p27 299 N p14->p27
0.0200 VerifyPubKeyp74 1312 1 0.0100 p74 p126 299 N p74->p126
0.0200 KemPubKeyp101 2119 1 0.0100 p101 p89 299 N p101->p89
0.0200 KemPubKeyp108 2127 1 0.0100 p108 p112 299 N p108->p112
0.0200 KemPubKeyp34 2085 1 0.0100 p34 p97 299 N p34->p97
0.0200 VerifyPubKeyp42 1312 1 0.0100 p42 p120 299 N p42->p120
0.0200 VerifyPubKeyp86 1312 1 0.0100 p86 p13 299 N p86->p13
0.0200 KemPubKeyp56 2082 1 0.0100 p56 p58 299 N p56->p58
0.0200 VerifyPubKeyp37 1312 1 0.0100 p37 p30 299 N p37->p30
0.0200 VerifyPubKeyp85 1312 1 0.0100 p85 p124 299 N p85->p124
0.0200 VerifyPubKeyp77 1312 1 0.0100 p77 p70 299 N p77->p70
0.0200 KemPubKeyp18 2096 1 0.0100 p18 p31 299 N p18->p31
0.0200 VerifyPubKeyp6 1312 1 0.0100 p6 p105 299 N p6->p105
0.0200 VerifyPubKeyp117 1312 1 0.0100 p117 p106 299 N p117->p106
0.0200 KemPubKeyp44 2105 1 0.0100 p44 p82 299 N p44->p82
0.0200 VerifyPubKeyp19 1312 1 0.0100 p19 p102 299 N p19->p102
0.0200 VerifyPubKeyp64 1312 1 0.0100 p64 p0 299 N p64->p0
0.0200 KemPubKeyp26 2074 1 0.0100 p26 p87 299 N p26->p87
0.0200 VerifyPubKeyp96 1312 1 0.0100 p96 p10 299 N p96->p10
0.0200 KemPubKeyp107 2093 1 0.0100 p107 p23 299 N p107->p23
0.0200 VerifyPubKeyp95 1312 1 0.0100 p95 p78 299 N p95->p78
0.0200 VerifyPubKeyp113 1312 1 0.0100 p113 p103 299 N p113->p103
0.0300 VerifyPubKeyp51 1312 1 0.0100 p51 p127 299 N p51->p127
0.0300 CiphertextFromp87 2100 1 0.0100 p87 p26 299 N p87->p26
0.0300 VerifyPubKeyp80 1312 1 0.0100 p80 p115 299 N p80->p115
0.0300 VerifyPubKeyp33 1312 1 0.0100 p33 p21 299 N p33->p21
0.0300 KemPubKeyp20 2107 1 0.0100 p20 p37 299 N p20->p37
0.0300 KemPubKeyp95 2103 1 0.0100 p95 p98 299 N p95->p98
0.0300 CiphertextFromp112 2091 1 0.0100 p112 p108 299 N p112->p108
0.0300 CiphertextFromp60 2104 1 0.0100 p60 p121 299 N p60->p121
0.0300 VerifyPubKeyp22 1312 1 0.0100 p22 p119 299 N p22->p119
0.0300 VerifyPubKeyp56 1312 1 0.0100 p56 p126 299 N p56->p126
