# messageDelay  cumulativeProbability
0.0100 0.0005
0.0100 0.0009
0.0100 0.0014
0.0100 0.0019
0.0100 0.0023
0.0100 0.0028
0.0100 0.0033
0.0100 0.0037
0.0100 0.0042
0.0100 0.0047
0.0100 0.0051
0.0100 0.0056
0.0100 0.0061
0.0100 0.0065
0.0100 0.0070
0.0100 0.0075
0.0100 0.0079
0.0100 0.0084
0.0100 0.0089
0.0100 0.0093
0.0100 0.0098
0.0100 0.0103
0.0100 0.0107
0.0100 0.0112
0.0100 0.0117
0.0100 0.0121
0.0100 0.0126
0.0100 0.0131
0.0100 0.0135
0.0100 0.0140
0.0100 0.0145
0.0100 0.0149
0.0100 0.0154
0.0100 0.0159
0.0100 0.0163
0.0100 0.0168
0.0100 0.0172
0.0100 0.0177
0.0100 0.0182
0.0100 0.0186
0.0100 0.0191
0.0100 0.0196
0.0100 0.0200
0.0100 0.0205
0.0100 0.0210
0.0100 0.0214
0.0100 0.0219
0.0100 0.0224
0.0100 0.0228
0.0100 0.0233
0.0100 0.0238
0.0100 0.0242
0.0100 0.0247
0.0100 0.0252
0.0100 0.0256
0.0100 0.0261
0.0100 0.0266
0.0100 0.0270
0.0100 0.0275
0.0100 0.0280
0.0100 0.0284
0.0100 0.0289
0.0100 0.0294
0.0100 0.0298
0.0100 0.0303
0.0100 0.0308
0.0100 0.0312
0.0100 0.0317
0.0100 0.0322
0.0100 0.0326
0.0100 0.0331
0.0100 0.0336
0.0100 0.0340
0.0100 0.0345
0.0100 0.0350
0.0100 0.0354
0.0100 0.0359
0.0100 0.0364
0.0100 0.0368
0.0100 0.0373
0.0100 0.0378
0.0100 0.0382
0.0100 0.0387
0.0100 0.0392
0.0100 0.0396
0.0100 0.0401
0.0100 0.0406
0.0100 0.0410
0.0100 0.0415
0.0100 0.0420
0.0100 0.0424
0.0100 0.0429
0.0100 0.0434
0.0100 0.0438
0.0100 0.0443
0.0100 0.0448
0.0100 0.0452
0.0100 0.0457
0.0100 0.0462
0.0100 0.0466
0.0100 0.0471
0.0100 0.0476
0.0100 0.0480
0.0100 0.0485
0.0100 0.0490
0.0100 0.0494
0.0100 0.0499
0.0100 0.0503
0.0100 0.0508
0.0100 0.0513
0.0100 0.0517
0.0100 0.0522
0.0100 0.0527
0.0100 0.0531
0.0100 0.0536
0.0100 0.0541
0.0100 0.0545
0.0100 0.0550
0.0100 0.0555
0.0100 0.0559
0.0100 0.0564
0.0100 0.0569
0.0100 0.0573
0.0100 0.0578
0.0100 0.0583
0.0100 0.0587
0.0100 0.0592
0.0100 0.0597
0.0100 0.0601
0.0100 0.0606
0.0100 0.0611
0.0100 0.0615
0.0100 0.0620
0.0100 0.0625
0.0100 0.0629
0.0100 0.0634
0.0100 0.0639
0.0100 0.0643
0.0100 0.0648
0.0100 0.0653
0.0100 0.0657
0.0100 0.0662
0.0100 0.0667
0.0100 0.0671
0.0100 0.0676
0.0100 0.0681
0.0100 0.0685
0.0100 0.0690
0.0100 0.0695
0.0100 0.0699
0.0100 0.0704
0.0100 0.0709
0.0100 0.0713
0.0100 0.0718
0.0100 0.0723
0.0100 0.0727
0.0100 0.0732
0.0100 0.0737
0.0100 0.0741
0.0100 0.0746
0.0100 0.0751
0.0100 0.0755
0.0100 0.0760
0.0100 0.0765
0.0100 0.0769
0.0100 0.0774
0.0100 0.0779
0.0100 0.0783
0.0100 0.0788
0.0100 0.0793
0.0100 0.0797
0.0100 0.0802
0.0100 0.0807
0.0100 0.0811
0.0100 0.0816
0.0100 0.0821
0.0100 0.0825
0.0100 0.0830
0.0100 0.0834
0.0100 0.0839
0.0100 0.0844
0.0100 0.0848
0.0100 0.0853
0.0100 0.0858
0.0100 0.0862
0.0100 0.0867
0.0100 0.0872
0.0100 0.0876
0.0100 0.0881
0.0100 0.0886
0.0100 0.0890
0.0100 0.0895
0.0100 0.0900
0.0100 0.0904
0.0100 0.0909
0.0100 0.0914
0.0100 0.0918
0.0100 0.0923
0.0100 0.0928
0.0100 0.0932
0.0100 0.0937
0.0100 0.0942
0.0100 0.0946
0.0100 0.0951
0.0100 0.0956
0.0100 0.0960
0.0100 0.0965
0.0100 0.0970
0.0100 0.0974
0.0100 0.0979
0.0100 0.0984
0.0100 0.0988
0.0100 0.0993
0.0100 0.0998
0.0100 0.1002
0.0100 0.1007
0.0100 0.1012
0.0100 0.1016
0.0100 0.1021
0.0100 0.1026
0.0100 0.1030
0.0100 0.1035
0.0100 0.1040
0.0100 0.1044
0.0100 0.1049
0.0100 0.1054
0.0100 0.1058
0.0100 0.1063
0.0100 0.1068
0.0100 0.1072
0.0100 0.1077
0.0100 0.1082
0.0100 0.1086
0.0100 0.1091
0.0100 0.1096
0.0100 0.1100
0.0100 0.1105
0.0100 0.1110
0.0100 0.1114
0.0100 0.1119
0.0100 0.1124
0.0100 0.1128
0.0100 0.1133
0.0100 0.1138
0.0100 0.1142
0.0100 0.1147
0.0100 0.1152
0.0100 0.1156
0.0100 0.1161
0.0100 0.1166
0.0100 0.1170
0.0100 0.1175
0.0100 0.1179
0.0100 0.1184
0.0100 0.1189
0.0100 0.1193
0.0100 0.1198
0.0100 0.1203
0.0100 0.1207
0.0100 0.1212
0.0100 0.1217
0.0100 0.1221
0.0100 0.1226
0.0100 0.1231
0.0100 0.1235
0.0100 0.1240
0.0100 0.1245
0.0100 0.1249
0.0100 0.1254
0.0100 0.1259
0.0100 0.1263
0.0100 0.1268
0.0100 0.1273
0.0100 0.1277
0.0100 0.1282
