# time  created  delivered  delivered/created
0.0100 1 0 0.0000
0.0100 2 0 0.0000
0.0100 3 0 0.0000
0.0100 4 0 0.0000
0.0200 5 0 0.0000
0.0200 6 0 0.0000
0.0200 6 1 0.1667
0.0200 7 1 0.1429
0.0200 8 1 0.1250
0.0200 8 2 0.2500
0.0300 9 2 0.2222
0.0300 9 3 0.3333
0.0300 10 3 0.3000
0.0300 11 3 0.2727
0.0300 11 4 0.3636
0.0300 12 4 0.3333
0.0400 12 5 0.4167
0.0400 12 6 0.5000
109.0700 13 6 0.4615
109.0700 14 6 0.4286
109.0800 15 6 0.4000
109.0800 16 6 0.3750
109.0800 16 7 0.4375
109.0800 17 7 0.4118
109.0900 18 7 0.3889
109.0900 18 8 0.4444
109.1000 18 9 0.5000
117.4700 19 9 0.4737
117.4700 20 9 0.4500
117.4800 21 9 0.4286
117.4800 22 9 0.4091
117.4800 22 10 0.4545
117.4900 23 10 0.4348
117.4900 23 11 0.4783
117.4900 24 11 0.4583
117.5000 24 12 0.5000
357.8100 25 12 0.4800
357.8100 26 12 0.4615
357.8200 27 12 0.4444
357.8200 27 13 0.4815
357.8200 28 13 0.4643
357.8300 29 13 0.4483
357.8300 29 14 0.4828
357.8300 30 14 0.4667
357.8400 30 15 0.5000
396.7700 31 15 0.4839
396.7700 32 15 0.4688
396.7800 33 15 0.4545
396.7800 33 16 0.4848
396.7800 34 16 0.4706
396.7900 35 16 0.4571
396.7900 35 17 0.4857
396.7900 36 17 0.4722
396.8000 36 18 0.5000
431.0300 37 18 0.4865
431.0300 38 18 0.4737
431.0400 39 18 0.4615
431.0400 39 19 0.4872
431.0400 40 19 0.4750
431.0400 41 19 0.4634
431.0500 42 19 0.4524
431.0500 42 20 0.4762
431.0600 43 20 0.4651
431.0600 43 21 0.4884
745.7300 44 21 0.4773
745.7300 45 21 0.4667
745.7400 46 21 0.4565
745.7400 46 22 0.4783
745.7400 47 22 0.4681
745.7500 48 22 0.4583
745.7500 48 23 0.4792
745.7500 49 23 0.4694
745.7600 49 24 0.4898
1080.5700 50 24 0.4800
1080.5700 51 24 0.4706
1080.5800 52 24 0.4615
1080.5800 53 24 0.4528
1080.5800 53 25 0.4717
1080.5900 54 25 0.4630
1080.5900 54 26 0.4815
1080.5900 55 26 0.4727
1080.6000 55 27 0.4909
1092.3200 56 27 0.4821
1092.3200 57 27 0.4737
1092.3300 58 27 0.4655
1092.3300 59 27 0.4576
1092.3300 59 28 0.4746
1092.3400 60 28 0.4667
1092.3400 60 29 0.4833
1092.3400 61 29 0.4754
1092.3500 61 30 0.4918
1125.0400 62 30 0.4839
1125.0400 63 30 0.4762
1125.0500 64 30 0.4688
1125.0500 65 30 0.4615
1125.0500 65 31 0.4769
1125.0500 66 31 0.4697
1125.0600 67 31 0.4627
1125.0600 67 32 0.4776
1125.0700 68 32 0.4706
1125.0700 68 33 0.4853
1695.3500 69 33 0.4783
1695.3500 70 33 0.4714
1695.3600 71 33 0.4648
1695.3600 72 33 0.4583
1695.3600 72 34 0.4722
1695.3700 73 34 0.4658
1695.3700 73 35 0.4795
1695.3700 74 35 0.4730
1695.3800 74 36 0.4865
2293.8800 75 36 0.4800
2293.8800 76 36 0.4737
2293.8900 77 36 0.4675
2293.8900 78 36 0.4615
2293.8900 78 37 0.4744
2293.9000 79 37 0.4684
2293.9000 79 38 0.4810
2293.9000 80 38 0.4750
2293.9100 80 39 0.4875
2321.2200 81 39 0.4815
2321.2200 82 39 0.4756
2321.2300 83 39 0.4699
2321.2300 84 39 0.4643
2321.2300 84 40 0.4762
2321.2400 85 40 0.4706
2321.2400 85 41 0.4824
2321.2400 86 41 0.4767
2321.2500 86 42 0.4884
2431.7400 87 42 0.4828
2431.7400 88 42 0.4773
2431.7500 89 42 0.4719
2431.7500 89 43 0.4831
2431.7500 90 43 0.4778
2431.7600 91 43 0.4725
2431.7600 91 44 0.4835
2431.7600 92 44 0.4783
2431.7700 92 45 0.4891
2685.5200 93 45 0.4839
2685.5200 94 45 0.4787
2685.5300 95 45 0.4737
2685.5300 96 45 0.4688
2685.5300 96 46 0.4792
2685.5300 97 46 0.4742
2685.5400 98 46 0.4694
2685.5400 98 47 0.4796
2685.5500 99 47 0.4747
2685.5500 99 48 0.4848
2781.9200 100 48 0.4800
2781.9200 101 48 0.4752
2781.9300 102 48 0.4706
2781.9300 103 48 0.4660
2781.9300 103 49 0.4757
2781.9300 104 49 0.4712
2781.9400 105 49 0.4667
2781.9400 105 50 0.4762
2781.9500 105 51 0.4857
3133.2700 106 51 0.4811
3133.2700 107 51 0.4766
3133.2800 108 51 0.4722
3133.2800 109 51 0.4679
3133.2800 109 52 0.4771
3133.2800 110 52 0.4727
3133.2900 111 52 0.4685
3133.2900 111 53 0.4775
3133.3000 111 54 0.4865
3143.4000 112 54 0.4821
3143.4000 113 54 0.4779
3143.4100 114 54 0.4737
3143.4100 114 55 0.4825
3143.4100 115 55 0.4783
3143.4200 116 55 0.4741
3143.4200 116 56 0.4828
3143.4200 117 56 0.4786
3143.4300 117 57 0.4872
3273.5200 118 57 0.4831
3273.5200 119 57 0.4790
3273.5300 120 57 0.4750
3273.5300 121 57 0.4711
3273.5300 121 58 0.4793
3273.5400 122 58 0.4754
3273.5400 122 59 0.4836
3273.5400 123 59 0.4797
3273.5500 123 60 0.4878
3723.6100 124 60 0.4839
3723.6100 125 60 0.4800
3723.6200 126 60 0.4762
3723.6200 126 61 0.4841
3723.6200 127 61 0.4803
3723.6300 128 61 0.4766
3723.6300 128 62 0.4844
3723.6300 129 62 0.4806
3723.6400 129 63 0.4884
4054.9900 130 63 0.4846
4054.9900 131 63 0.4809
4055.0000 132 63 0.4773
4055.0000 133 63 0.4737
4055.0000 133 64 0.4812
4055.0000 134 64 0.4776
4055.0100 135 64 0.4741
4055.0100 135 65 0.4815
4055.0200 136 65 0.4779
4055.0200 136 66 0.4853
4080.4000 137 66 0.4818
4080.4000 138 66 0.4783
4080.4100 139 66 0.4748
4080.4100 139 67 0.4820
4080.4100 140 67 0.4786
4080.4200 141 67 0.4752
4080.4200 141 68 0.4823
4080.4200 142 68 0.4789
4080.4300 142 69 0.4859
4420.2300 143 69 0.4825
4420.2300 144 69 0.4792
4420.2400 145 69 0.4759
4420.2400 146 69 0.4726
4420.2400 146 70 0.4795
4420.2400 147 70 0.4762
4420.2500 148 70 0.4730
4420.2500 148 71 0.4797
4420.2600 148 72 0.4865
4528.1900 149 72 0.4832
4528.1900 150 72 0.4800
4528.2000 151 72 0.4768
4528.2000 151 73 0.4834
4528.2000 152 73 0.4803
4528.2100 153 73 0.4771
4528.2100 153 74 0.4837
4528.2100 154 74 0.4805
4528.2200 154 75 0.4870
5194.6200 155 75 0.4839
5194.6200 156 75 0.4808
5194.6300 157 75 0.4777
5194.6300 158 75 0.4747
5194.6300 158 76 0.4810
5194.6400 159 76 0.4780
5194.6400 159 77 0.4843
5194.6400 160 77 0.4813
5194.6500 160 78 0.4875
5283.7000 161 78 0.4845
5283.7000 162 78 0.4815
5283.7100 163 78 0.4785
5283.7100 163 79 0.4847
5283.7100 164 79 0.4817
5283.7200 165 79 0.4788
5283.7200 165 80 0.4848
5283.7200 166 80 0.4819
5283.7300 166 81 0.4880
6684.6600 167 81 0.4850
6684.6600 168 81 0.4821
6684.6700 169 81 0.4793
6684.6700 169 82 0.4852
6684.6700 170 82 0.4824
6684.6800 171 82 0.4795
6684.6800 171 83 0.4854
6684.6800 172 83 0.4826
6684.6900 172 84 0.4884
7960.4500 173 84 0.4855
7960.4500 174 84 0.4828
7960.4600 175 84 0.4800
7960.4600 175 85 0.4857
7960.4600 176 85 0.4830
7960.4600 177 85 0.4802
7960.4700 178 85 0.4775
7960.4700 178 86 0.4831
7960.4800 178 87 0.4888
8575.3300 179 87 0.4860
8575.3300 180 87 0.4833
8575.3400 181 87 0.4807
8575.3400 181 88 0.4862
8575.3400 182 88 0.4835
8575.3500 183 88 0.4809
8575.3500 183 89 0.4863
8575.3500 184 89 0.4837
8575.3600 184 90 0.4891
8678.8700 185 90 0.4865
8678.8700 186 90 0.4839
8678.8800 187 90 0.4813
8678.8800 187 91 0.4866
8678.8800 188 91 0.4840
8678.8800 189 91 0.4815
8678.8900 190 91 0.4789
8678.8900 190 92 0.4842
8678.9000 191 92 0.4817
8678.9000 191 93 0.4869
9358.7900 192 93 0.4844
9358.7900 193 93 0.4819
9358.8000 194 93 0.4794
9358.8000 194 94 0.4845
9358.8000 195 94 0.4821
9358.8000 196 94 0.4796
9358.8100 197 94 0.4772
9358.8100 197 95 0.4822
9358.8200 198 95 0.4798
9358.8200 198 96 0.4848
9363.2400 199 96 0.4824
9363.2400 200 96 0.4800
9363.2500 201 96 0.4776
9363.2500 202 96 0.4752
9363.2500 202 97 0.4802
9363.2500 203 97 0.4778
9363.2600 204 97 0.4755
9363.2600 204 98 0.4804
9363.2700 204 99 0.4853
10049.6200 205 99 0.4829
10049.6200 206 99 0.4806
10049.6300 207 99 0.4783
10049.6300 208 99 0.4760
10049.6300 208 100 0.4808
10049.6300 209 100 0.4785
10049.6400 210 100 0.4762
10049.6400 210 101 0.4810
10049.6500 210 102 0.4857
10168.1500 211 102 0.4834
10168.1500 212 102 0.4811
10168.1600 213 102 0.4789
10168.1600 213 103 0.4836
10168.1600 214 103 0.4813
10168.1600 215 103 0.4791
10168.1700 216 103 0.4769
10168.1700 216 104 0.4815
10168.1800 217 104 0.4793
10168.1800 217 105 0.4839
10309.0800 218 105 0.4817
10309.0800 219 105 0.4795
10309.0900 220 105 0.4773
10309.0900 220 106 0.4818
10309.0900 221 106 0.4796
10309.0900 222 106 0.4775
10309.1000 223 106 0.4753
10309.1000 223 107 0.4798
10309.1100 224 107 0.4777
10309.1100 224 108 0.4821
