# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 VerifyPubKeyp83 1312 1 0.0100 p83 p134 299 N p83->p134
0.0200 VerifyPubKeyp2 1312 1 0.0100 p2 p14 299 N p2->p14
0.0200 VerifyPubKeyp65 1312 1 0.0100 p65 p64 299 N p65->p64
0.0200 KemPubKeyp16 2106 1 0.0100 p16 p52 299 N p16->p52
0.0200 KemPubKeyp139 2102 1 0.0100 p139 p68 299 N p139->p68
0.0200 KemPubKeyp107 2096 1 0.0100 p107 p71 299 N p107->p71
0.0200 VerifyPubKeyp47 1312 1 0.0100 p47 p128 299 N p47->p128
0.0200 VerifyPubKeyp106 1312 1 0.0100 p106 p103 299 N p106->p103
0.0200 KemPubKeyp34 2110 1 0.0100 p34 p90 299 N p34->p90
0.0200 KemPubKeyp78 2109 1 0.0100 p78 p87 299 N p78->p87
0.0200 KemPubKeyp1 2099 1 0.0100 p1 p136 299 N p1->p136
0.0200 VerifyPubKeyp76 1312 1 0.0100 p76 p127 299 N p76->p127
0.0200 VerifyPubKeyp60 1312 1 0.0100 p60 p17 299 N p60->p17
0.0200 VerifyPubKeyp84 1312 1 0.0100 p84 p3 299 N p84->p3
0.0200 VerifyPubKeyp69 1312 1 0.0100 p69 p55 299 N p69->p55
0.0200 KemPubKeyp111 2089 1 0.0100 p111 p94 299 N p111->p94
0.0200 KemPubKeyp33 2102 1 0.0100 p33 p91 299 N p33->p91
0.0200 KemPubKeyp25 2118 1 0.0100 p25 p5 299 N p25->p5
0.0200 VerifyPubKeyp95 1312 1 0.0100 p95 p77 299 N p95->p77
0.0200 KemPubKeyp10 2109 1 0.0100 p10 p73 299 N p10->p73
0.0200 VerifyPubKeyp99 1312 1 0.0100 p99 p112 299 N p99->p112
0.0200 VerifyPubKeyp89 1312 1 0.0100 p89 p46 299 N p89->p46
0.0200 KemPubKeyp22 2089 1 0.0100 p22 p96 299 N p22->p96
0.0200 KemPubKeyp28 2103 1 0.0100 p28 p59 299 N p28->p59
0.0200 KemPubKeyp56 2076 1 0.0100 p56 p93 299 N p56->p93
0.0200 KemPubKeyp29 2097 1 0.0100 p29 p97 299 N p29->p97
0.0200 KemPubKeyp100 2096 1 0.0100 p100 p18 299 N p100->p18
0.0200 VerifyPubKeyp124 1312 1 0.0100 p124 p105 299 N p124->p105
0.0200 VerifyPubKeyp110 1312 1 0.0100 p110 p11 299 N p110->p11
0.0200 KemPubKeyp104 2081 1 0.0100 p104 p26 299 N p104->p26
0.0200 VerifyPubKeyp86 1312 1 0.0100 p86 p51 299 N p86->p51
0.0200 KemPubKeyp137 2088 1 0.0100 p137 p88 299 N p137->p88
0.0200 KemPubKeyp38 2090 1 0.0100 p38 p4 299 N p38->p4
0.0200 VerifyPubKeyp27 1312 1 0.0100 p27 p20 299 N p27->p20
0.0200 VerifyPubKeyp133 1312 1 0.0100 p133 p132 299 N p133->p132
0.0200 VerifyPubKeyp54 1312 1 0.0100 p54 p102 299 N p54->p102
0.0200 VerifyPubKeyp67 1312 1 0.0100 p67 p116 299 N p67->p116
0.0200 VerifyPubKeyp75 1312 1 0.0100 p75 p122 299 N p75->p122
0.0200 VerifyPubKeyp9 1312 1 0.0100 p9 p120 299 N p9->p120
0.0200 VerifyPubKeyp66 1312 1 0.0100 p66 p138 299 N p66->p138
0.0200 KemPubKeyp15 2099 1 0.0100 p15 p98 299 N p15->p98
0.0200 KemPubKeyp117 2124 1 0.0100 p117 p119 299 N p117->p119
0.0200 KemPubKeyp31 2094 1 0.0100 p31 p92 299 N p31->p92
0.0200 KemPubKeyp131 2093 1 0.0100 p131 p35 299 N p131->p35
0.0200 VerifyPubKeyp19 1312 1 0.0100 p19 p113 299 N p19->p113
0.0200 VerifyPubKeyp24 1312 1 0.0100 p24 p130 299 N p24->p130
0.0200 KemPubKeyp44 2111 1 0.0100 p44 p72 299 N p44->p72
0.0200 VerifyPubKeyp62 1312 1 0.0100 p62 p40 299 N p62->p40
0.0200 VerifyPubKeyp70 1312 1 0.0100 p70 p101 299 N p70->p101
0.0200 KemPubKeyp109 2069 1 0.0100 p109 p123 299 N p109->p123
0.0200 VerifyPubKeyp80 1312 1 0.0100 p80 p63 299 N p80->p63
0.0200 VerifyPubKeyp30 1312 1 0.0100 p30 p108 299 N p30->p108
0.0200 VerifyPubKeyp12 1312 1 0.0100 p12 p115 299 N p12->p115
0.0200 KemPubKeyp129 2098 1 0.0100 p129 p82 299 N p129->p82
0.0200 KemPubKeyp48 2101 1 0.0100 p48 p57 299 N p48->p57
0.0200 VerifyPubKeyp37 1312 1 0.0100 p37 p36 299 N p37->p36
0.0300 CiphertextFromp92 2000 1 0.0100 p92 p31 299 N p92->p31
0.0300 KemPubKeyp2 2081 1 0.0100 p2 p75 299 N p2->p75
0.0300 CiphertextFromp82 2000 1 0.0100 p82 p129 299 N p82->p129
0.0300 CiphertextFromp98 2000 1 0.0100 p98 p15 299 N p98->p15
0.0300 KemPubKeyp46 2082 1 0.0200 p46 p89 299 N p46->p89
0.0300 CiphertextFromp26 2000 1 0.0100 p26 p104 299 N p26->p104
0.0300 VerifyPubKeyp65 1312 1 0.0100 p65 p49 299 N p65->p49
0.0300 KemPubKeyp12 2110 1 0.0100 p12 p5 299 N p12->p5
0.0300 CiphertextFromp90 2000 1 0.0100 p90 p34 299 N p90->p34
0.0300 VerifyPubKeyp53 1312 1 0.0200 p53 p47 299 N p53->p47
0.0300 VerifyPubKeyp127 1312 1 0.0100 p127 p118 299 N p127->p118
0.0300 KemPubKeyp1 2099 1 0.0100 p1 p13 299 N p1->p13
0.0300 VerifyPubKeyp95 1312 1 0.0100 p95 p23 299 N p95->p23
0.0300 KemPubKeyp21 2101 1 0.0100 p21 p9 299 N p21->p9
0.0300 CiphertextFromp87 2000 1 0.0100 p87 p78 299 N p87->p78
0.0300 KemPubKeyp30 2117 1 0.0100 p30 p60 299 N p30->p60
0.0300 CiphertextFromp59 2000 1 0.0100 p59 p28 299 N p59->p28
0.0300 VerifyPubKeyp94 1312 1 0.0200 p94 p111 299 N p94->p111
0.0300 KemPubKeyp125 2093 1 0.0100 p125 p3 299 N p125->p3
0.0300 CiphertextFromp18 2000 1 0.0100 p18 p100 299 N p18->p100
0.0300 KemPubKeyp17 2079 1 0.0100 p17 p8 299 N p17->p8
0.0300 VerifyPubKeyp109 1312 1 0.0100 p109 p106 299 N p109->p106
0.0300 CiphertextFromp91 2000 1 0.0100 p91 p33 299 N p91->p33
0.0300 KemPubKeyp37 2114 1 0.0100 p37 p63 299 N p37->p63
0.0300 KemPubKeyp51 2081 1 0.0100 p51 p86 299 N p51->p86
0.0300 VerifyPubKeyp61 1312 1 0.0100 p61 p123 299 N p61->p123
0.0300 VerifyPubKeyp128 1312 1 0.0100 p128 p116 299 N p128->p116
0.0300 CiphertextFromp68 2000 1 0.0100 p68 p139 299 N p68->p139
0.0300 VerifyPubKeyp25 1312 1 0.0100 p25 p126 299 N p25->p126
0.0300 CiphertextFromp93 2000 1 0.0100 p93 p56 299 N p93->p56
0.0300 CiphertextFromp57 2000 1 0.0100 p57 p48 299 N p57->p48
0.0300 VerifyPubKeyp103 1312 1 0.0100 p103 p102 299 N p103->p102
0.0300 VerifyPubKeyp99 1312 1 0.0100 p99 p84 299 N p99->p84
0.0300 KemPubKeyp14 2084 1 0.0200 p14 p54 299 N p14->p54
