# messageDelay  cumulativeProbability
0.0100 0.0012
0.0100 0.0024
0.0100 0.0035
0.0100 0.0047
0.0100 0.0059
0.0100 0.0071
0.0100 0.0082
0.0100 0.0094
0.0100 0.0106
0.0100 0.0118
0.0100 0.0129
0.0100 0.0141
0.0100 0.0153
0.0100 0.0165
0.0100 0.0176
0.0100 0.0188
0.0100 0.0200
0.0100 0.0212
0.0100 0.0224
0.0100 0.0235
0.0100 0.0247
0.0100 0.0259
0.0100 0.0271
0.0100 0.0282
0.0100 0.0294
0.0100 0.0306
0.0100 0.0318
0.0100 0.0329
0.0100 0.0341
0.0100 0.0353
0.0100 0.0365
0.0100 0.0376
0.0100 0.0388
0.0100 0.0400
0.0100 0.0412
0.0100 0.0424
0.0100 0.0435
0.0100 0.0447
0.0100 0.0459
0.0100 0.0471
0.0100 0.0482
0.0100 0.0494
0.0100 0.0506
0.0100 0.0518
0.0100 0.0529
0.0100 0.0541
0.0100 0.0553
0.0100 0.0565
0.0100 0.0576
0.0100 0.0588
0.0100 0.0600
0.0100 0.0612
0.0100 0.0624
0.0100 0.0635
0.0100 0.0647
0.0100 0.0659
0.0100 0.0671
0.0100 0.0682
0.0100 0.0694
0.0100 0.0706
0.0100 0.0718
0.0100 0.0729
0.0100 0.0741
0.0100 0.0753
0.0100 0.0765
0.0100 0.0776
0.0100 0.0788
0.0100 0.0800
0.0100 0.0812
0.0100 0.0824
0.0100 0.0835
0.0100 0.0847
0.0100 0.0859
0.0100 0.0871
0.0100 0.0882
0.0100 0.0894
0.0100 0.0906
0.0100 0.0918
0.0100 0.0929
0.0100 0.0941
0.0100 0.0953
0.0100 0.0965
0.0100 0.0976
0.0100 0.0988
0.0100 0.1000
0.0100 0.1012
0.0100 0.1024
0.0100 0.1035
0.0100 0.1047
0.0100 0.1059
0.0100 0.1071
0.0100 0.1082
0.0100 0.1094
0.0100 0.1106
0.0100 0.1118
0.0100 0.1129
0.0100 0.1141
0.0100 0.1153
0.0100 0.1165
0.0100 0.1176
0.0100 0.1188
0.0100 0.1200
0.0100 0.1212
0.0100 0.1224
0.0100 0.1235
0.0100 0.1247
0.0100 0.1259
0.0100 0.1271
0.0100 0.1282
0.0100 0.1294
0.0100 0.1306
0.0100 0.1318
0.0100 0.1329
0.0100 0.1341
0.0100 0.1353
0.0100 0.1365
0.0100 0.1376
0.0100 0.1388
0.0100 0.1400
0.0100 0.1412
0.0100 0.1424
0.0100 0.1435
0.0100 0.1447
0.0100 0.1459
0.0100 0.1471
0.0100 0.1482
0.0100 0.1494
0.0100 0.1506
0.0100 0.1518
0.0100 0.1529
0.0100 0.1541
0.0100 0.1553
0.0100 0.1565
0.0100 0.1576
0.0100 0.1588
0.0100 0.1600
0.0100 0.1612
0.0100 0.1624
0.0100 0.1635
0.0100 0.1647
0.0100 0.1659
0.0100 0.1671
0.0100 0.1682
0.0100 0.1694
0.0100 0.1706
0.0100 0.1718
0.0100 0.1729
0.0100 0.1741
0.0100 0.1753
0.0100 0.1765
0.0100 0.1776
0.0100 0.1788
0.0100 0.1800
0.0100 0.1812
0.0100 0.1824
0.0100 0.1835
0.0100 0.1847
0.0100 0.1859
0.0100 0.1871
0.0100 0.1882
0.0100 0.1894
0.0100 0.1906
0.0100 0.1918
0.0100 0.1929
0.0100 0.1941
0.0100 0.1953
0.0100 0.1965
0.0100 0.1976
0.0100 0.1988
0.0100 0.2000
0.0100 0.2012
0.0100 0.2024
